SKU	INVENTORY	MARKETPLACE_ID	MIN_PRICE	MAX_PRICE	CURRENT_SHIPPING
458706	0	9261	135.28	169.95	0
ANSWER 458706	0	9261	135.2785	169.95	0
458707	0	9261	102.39	169.95	0
ANSWER 458707	0	9261	102.3885	169.95	0
458708	0	9261	102.39	169.95	0
ANSWER 458708	0	9261	102.3885	169.95	0
458709	0	9261	102.39	169.95	0
ANSWER 458709	0	9261	102.3885	169.95	0
458710	9	9261	102.39	169.95	0
ANSWER 458710	9	9261	102.3885	169.95	0
458711	0	9261	102.39	169.95	0
ANSWER 458711	0	9261	102.3885	169.95	0
458700	0	9261	152.96	169.95	0
ANSWER 458700	0	9261	152.955	169.95	0
458701	0	9261	102.39	169.95	0
ANSWER 458701	0	9261	102.3885	169.95	0
458702	9	9261	102.39	169.95	0
ANSWER 458702	9	9261	102.3885	169.95	0
458703	0	9261	102.39	169.95	0
ANSWER 458703	0	9261	102.3885	169.95	0
458704	9	9261	102.39	169.95	0
ANSWER 458704	9	9261	102.3885	169.95	0
458705	0	9261	102.39	169.95	0
ANSWER 458705	0	9261	102.3885	169.95	0
458717	9	9261	44.89	78.95	0
ANSWER 458717	9	9261	44.8885	78.95	0
458718	9	9261	44.89	78.95	0
ANSWER 458718	9	9261	44.8885	78.95	0
458719	9	9261	44.89	78.95	0
ANSWER 458719	9	9261	44.8885	78.95	0
458720	9	9261	44.89	78.95	0
ANSWER 458720	9	9261	44.8885	78.95	0
458721	9	9261	44.89	78.95	0
ANSWER 458721	9	9261	44.8885	78.95	0
458712	9	9261	44.89	78.95	0
ANSWER 458712	9	9261	44.8885	78.95	0
458713	9	9261	44.89	78.95	0
ANSWER 458713	9	9261	44.8885	78.95	0
458714	9	9261	44.89	78.95	0
ANSWER 458714	9	9261	44.8885	78.95	0
458715	9	9261	44.89	78.95	0
ANSWER 458715	9	9261	44.8885	78.95	0
458716	9	9261	44.89	78.95	0
ANSWER 458716	9	9261	44.8885	78.95	0
458727	0	9261	34.54	59.95	0
ANSWER 458727	0	9261	34.5385	59.95	0
458728	0	9261	41.21	59.95	0
ANSWER 458728	0	9261	41.2085	59.95	0
458729	0	9261	41.21	59.95	0
ANSWER 458729	0	9261	41.2085	59.95	0
458730	0	9261	34.54	59.95	0
ANSWER 458730	0	9261	34.5385	59.95	0
458731	9	9261	34.54	59.95	0
ANSWER 458731	9	9261	34.5385	59.95	0
458722	0	9261	34.54	59.95	0
ANSWER 458722	0	9261	34.5385	59.95	0
458723	0	9261	34.54	59.95	0
ANSWER 458723	0	9261	34.5385	59.95	0
458724	1	9261	34.54	59.95	0
ANSWER 458724	1	9261	34.5385	59.95	0
458725	9	9261	34.54	59.95	0
ANSWER 458725	9	9261	34.5385	59.95	0
458726	9	9261	34.54	59.95	0
ANSWER 458726	9	9261	34.5385	59.95	0
458620	2	9261	152.96	169.95	0
ANSWER 458620	2	9261	152.955	169.95	0
458621	0	9261	152.96	169.95	0
ANSWER 458621	0	9261	152.955	169.95	0
458622	0	9261	152.96	169.95	0
ANSWER 458622	0	9261	152.955	169.95	0
458623	9	9261	152.96	169.95	0
ANSWER 458623	9	9261	152.955	169.95	0
458624	9	9261	152.96	169.95	0
ANSWER 458624	9	9261	152.955	169.95	0
458625	9	9261	152.96	169.95	0
ANSWER 458625	9	9261	152.955	169.95	0
458626	6	9261	152.96	169.95	0
ANSWER 458626	6	9261	152.955	169.95	0
458627	0	9261	152.96	169.95	0
ANSWER 458627	0	9261	152.955	169.95	0
458628	9	9261	152.96	169.95	0
ANSWER 458628	9	9261	152.955	169.95	0
458629	9	9261	152.96	169.95	0
ANSWER 458629	9	9261	152.955	169.95	0
458630	9	9261	152.96	169.95	0
ANSWER 458630	9	9261	152.955	169.95	0
458631	9	9261	152.96	169.95	0
ANSWER 458631	9	9261	152.955	169.95	0
458632	9	9261	54.66	78.95	0
ANSWER 458632	9	9261	54.6635	78.95	0
458633	9	9261	54.66	78.95	0
ANSWER 458633	9	9261	54.6635	78.95	0
458634	9	9261	54.66	78.95	0
ANSWER 458634	9	9261	54.6635	78.95	0
458635	9	9261	54.66	78.95	0
ANSWER 458635	9	9261	54.6635	78.95	0
458636	9	9261	54.66	78.95	0
ANSWER 458636	9	9261	54.6635	78.95	0
458637	9	9261	54.66	78.95	0
ANSWER 458637	9	9261	54.6635	78.95	0
458638	9	9261	54.66	78.95	0
ANSWER 458638	9	9261	54.6635	78.95	0
458639	9	9261	54.66	78.95	0
ANSWER 458639	9	9261	54.6635	78.95	0
458640	9	9261	54.66	78.95	0
ANSWER 458640	9	9261	54.6635	78.95	0
458641	9	9261	54.66	78.95	0
ANSWER 458641	9	9261	54.6635	78.95	0
458642	9	9261	41.21	59.95	0
ANSWER 458642	9	9261	41.2085	59.95	0
458643	9	9261	41.21	59.95	0
ANSWER 458643	9	9261	41.2085	59.95	0
458644	9	9261	41.21	59.95	0
ANSWER 458644	9	9261	41.2085	59.95	0
458645	9	9261	41.21	59.95	0
ANSWER 458645	9	9261	41.2085	59.95	0
458646	9	9261	41.21	59.95	0
ANSWER 458646	9	9261	41.2085	59.95	0
458578	1	9261	134.96	149.95	0
ANSWER 458578	1	9261	134.955	149.95	0
458580	0	9261	134.96	149.95	0
ANSWER 458580	0	9261	134.955	149.95	0
458582	0	9261	134.96	149.95	0
ANSWER 	0	9261	134.955	149.95	0
458572	1	9261	134.96	149.95	0
ANSWER 458572	1	9261	134.955	149.95	0
458573	3	9261	134.96	149.95	0
ANSWER 458573	3	9261	134.955	149.95	0
458574	8	9261	134.96	149.95	0
ANSWER 458574	8	9261	134.955	149.95	0
458575	0	9261	134.96	149.95	0
ANSWER 458575	0	9261	134.955	149.95	0
458576	8	9261	134.96	149.95	0
ANSWER 458576	8	9261	134.955	149.95	0
458577	0	9261	134.96	149.95	0
ANSWER 458577	0	9261	134.955	149.95	0
458595	0	9261	47.53	68.95	0
ANSWER 458595	0	9261	47.5335	68.95	0
458596	0	9261	47.53	68.95	0
ANSWER 	0	9261	47.5335	68.95	0
458590	0	9261	47.53	68.95	0
ANSWER 458590	0	9261	47.5335	68.95	0
458591	0	9261	47.53	68.95	0
ANSWER 458591	0	9261	47.5335	68.95	0
458592	0	9261	47.53	68.95	0
ANSWER 458592	0	9261	47.5335	68.95	0
458593	0	9261	47.53	68.95	0
ANSWER 458593	0	9261	47.5335	68.95	0
458610	7	9261	38.33	55.95	0
ANSWER 458610	7	9261	38.3335	55.95	0
458611	0	9261	38.33	55.95	0
ANSWER 	0	9261	38.3335	55.95	0
458613	8	9261	38.33	55.95	0
ANSWER 458613	8	9261	38.3335	55.95	0
458614	9	9261	38.33	55.95	0
ANSWER 458614	9	9261	38.3335	55.95	0
458664	6	9261	116.96	129.95	0
ANSWER 458664	6	9261	116.955	129.95	0
458665	9	9261	116.96	129.95	0
ANSWER 458665	9	9261	116.955	129.95	0
458666	9	9261	116.96	129.95	0
ANSWER 458666	9	9261	116.955	129.95	0
458667	9	9261	116.96	129.95	0
ANSWER 458667	9	9261	116.955	129.95	0
458668	9	9261	116.96	129.95	0
ANSWER 458668	9	9261	116.955	129.95	0
458669	9	9261	116.96	129.95	0
ANSWER 458669	9	9261	116.955	129.95	0
458680	0	9261	47.53	68.95	0
ANSWER 458680	0	9261	47.5335	68.95	0
458681	0	9261	47.53	68.95	0
ANSWER 458681	0	9261	47.5335	68.95	0
458682	0	9261	47.53	68.95	0
ANSWER 458682	0	9261	47.5335	68.95	0
458683	0	9261	47.53	68.95	0
ANSWER 458683	0	9261	47.5335	68.95	0
458684	0	9261	47.53	68.95	0
ANSWER 458684	0	9261	47.5335	68.95	0
458695	9	9261	38.33	55.95	0
ANSWER 458695	9	9261	38.3335	55.95	0
458696	9	9261	38.33	55.95	0
ANSWER 458696	9	9261	38.3335	55.95	0
458697	9	9261	38.33	55.95	0
ANSWER 458697	9	9261	38.3335	55.95	0
458698	9	9261	38.33	55.95	0
ANSWER 458698	9	9261	38.3335	55.95	0
458699	9	9261	38.33	55.95	0
ANSWER 458699	9	9261	38.3335	55.95	0
458739	9	9261	134.96	149.95	0
ANSWER 458739	9	9261	134.955	149.95	0
458740	9	9261	134.96	149.95	0
ANSWER 458740	9	9261	134.955	149.95	0
458741	9	9261	134.96	149.95	0
ANSWER 458741	9	9261	134.955	149.95	0
458742	9	9261	134.96	149.95	0
ANSWER 458742	9	9261	134.955	149.95	0
458743	9	9261	134.96	149.95	0
ANSWER 458743	9	9261	134.955	149.95	0
458744	3	9261	134.96	149.95	0
ANSWER 458744	3	9261	134.955	149.95	0
458745	9	9261	134.96	149.95	0
ANSWER 458745	9	9261	134.955	149.95	0
458752	0	9261	47.53	68.95	0
ANSWER 458752	0	9261	47.5335	68.95	0
458753	0	9261	47.53	68.95	0
ANSWER 458753	0	9261	47.5335	68.95	0
458754	9	9261	47.53	68.95	0
ANSWER 458754	9	9261	47.5335	68.95	0
458755	9	9261	47.53	68.95	0
ANSWER 458755	9	9261	47.5335	68.95	0
458756	9	9261	47.53	68.95	0
ANSWER 458756	9	9261	47.5335	68.95	0
458757	0	9261	47.53	68.95	0
ANSWER 458757	0	9261	47.5335	68.95	0
458763	9	9261	38.33	55.95	0
ANSWER 458763	9	9261	38.3335	55.95	0
458764	0	9261	38.33	55.95	0
ANSWER 458764	0	9261	38.3335	55.95	0
458765	0	9261	38.33	55.95	0
ANSWER 458765	0	9261	38.3335	55.95	0
458766	0	9261	38.33	55.95	0
ANSWER 458766	0	9261	38.3335	55.95	0
458767	9	9261	38.33	55.95	0
ANSWER 458767	9	9261	38.3335	55.95	0
458732	9	9261	134.96	149.95	0
ANSWER 458732	9	9261	134.955	149.95	0
458733	0	9261	134.96	149.95	0
ANSWER 458733	0	9261	134.955	149.95	0
458734	9	9261	134.96	149.95	0
ANSWER 458734	9	9261	134.955	149.95	0
458735	8	9261	134.96	149.95	0
ANSWER 458735	8	9261	134.955	149.95	0
458736	5	9261	134.96	149.95	0
ANSWER 458736	5	9261	134.955	149.95	0
458737	9	9261	134.96	149.95	0
ANSWER 458737	9	9261	134.955	149.95	0
458738	4	9261	134.96	149.95	0
ANSWER 458738	4	9261	134.955	149.95	0
